en_text,th_text
"Hi, I'm looking to book a table for Korean foods.",สวัสดีค่ะ ช่วยจองร้านอาหารเกาหลีให้หน่อยได้มั้ยคะ?
"Ok, what area are you thinking about?",ได้เลยค่ะ แถวไหนดีคะ?
"Somewhere in Southern NYC, maybe the East Village?",แถว ๆ นิวยอร์คทางใต้ก็ได้ค่ะ แถวอีสต์วิลเลจอะไรงี้
"Ok, great. There's Thursday Kitchen, it has great reviews.",โอเคค่ะ ดีเลย มีร้านเธอร์เดย์คิทเช่นอยู่ รีวิวดีด้วยนะคะ
"That's great. So I need a table for tonight at 7 pm for 8 people. We don't want to sit at the bar, but anywhere else is fine.",เยี่ยมค่ะ อยากได้โต๊ะแปดคนตอนทุ่มนึงค่ะ นั่งตรงไหนก็ได้แต่ไม่เอาตรงบาร์นะคะ
They don't have any availability for 7 pm.,ไม่มีโต๊ะว่างตอนทุ่มนึงเลยค่ะ
What times are available?,งั้นว่างตอนไหนบ้างคะ?
5 or 8.,ไม่ห้าโมงก็สองทุ่มเลยค่ะ
"Ok, do you have a second choice?",มีตัวเลือกอื่นมั้ยคะ?
Let me check.,งั้นแปปนึงนะคะ
